player_hand,dealer_upcard,can_double,result
3D-2H-7D-2S-7S,QC,0,stand
6C-KD,4S,1,stand
3C-5S,8C,1,hit
3C-5S-4D,8C,0,hit
3C-5S-4D-AC,8C,0,hit
3C-5S-4D-AC-AS,8C,0,hit
7H-QC,9C,1,stand
6S-QC,9C,1,hit
3D-AH,7H,1,hit
3D-AH-JS,7H,0,hit
3D-AH-JS-2C,7H,0,hit
9H-KH,JH,1,stand
10C-3S,2D,1,stand
9C-10H,3S,1,stand
5D-7H,9C,1,hit
5D-7H-4D,9C,0,hit
JD-9D,5C,1,stand
QC-7C,5D,1,stand
5S-8C,4D,1,stand
KH-6S,6H,1,stand
3C-9C,JD,1,hit
3C-9C-7H,JD,0,stand
AS-3D,4H,1,hit
AS-3D-2C,4H,0,hit
AS-3D-2C-9D,4H,0,stand
3S-QD,6C,1,stand
5H-3H,KS,1,hit
5H-3H-7D,KS,0,hit
7S-7D,JD,1,hit
QS-QC,2H,1,stand
KD-5C,8S,1,hit
KD-5C-AC,8S,0,hit
9H-3C,QC,1,hit
6C-6H,10S,1,hit
KC-7D,AH,1,stand
10S-JD,9H,1,stand
KS-4S,KH,1,hit
10S-2S,7D,1,hit
10S-2S-7H,7D,0,stand
3S-10C,6D,1,stand
5C-3D,10C,1,hit
5C-3D-KS,10C,0,stand
5H-7H,8S,1,hit
5H-7H-7D,8S,0,stand
4H-2C,8H,1,hit
4H-2C-5S,8H,0,hit
4H-2C-5S-6C,8H,0,stand
7H-6H,QC,1,hit
7H-6H-AH,QC,0,hit
7H-6H-AH-3S,QC,0,stand
QH-7D,7H,1,stand
8C-3S,AD,1,double down
2H-QC,JH,1,hit
2H-QC-7C,JH,0,stand
9C-4C,KH,1,hit
4C-6S,3H,1,double down
2C-JS,9C,1,hit
2C-JS-5S,9C,0,stand
QS-9S,5D,1,stand
QH-KD,2D,1,stand
JD-QH,KC,1,stand
KD-10S,JH,1,stand
8S-5H,AS,1,hit
KC-QS,8H,1,stand
3H-5D,QH,1,hit
3H-5D-AH,QH,0,stand
8C-6C,6H,1,stand
7C-2C,7H,1,hit
7C-2C-6D,7H,0,hit
AD-5S,4S,1,double down
6S-AD,9C,1,hit
6S-AD-9D,9C,0,hit
JS-JD,4D,1,stand
9C-6H,QC,1,hit
9C-6H-2H,QC,0,stand
4S-8C,8S,1,hit
4S-8C-7C,8S,0,stand
5S-4C,5C,1,double down
KC-5S,2C,1,stand
2S-10D,9D,1,hit
2S-10D-AC,9D,0,hit
2S-10D-AC-5D,9D,0,stand
9D-8C,7S,1,stand
2C-4S,AS,1,hit
2C-4S-KC,AS,0,hit
